Rank,Team,W,L,AdjOffEff,AdjDefEff,Total,Date
1,Duke,28,2,128.33,89.89,38.45,3/7/2026
2,Michigan,28,2,126.86,91.69,35.17,3/7/2026
3,Arizona,28,2,124.8,91.83,32.96,3/7/2026
4,Florida,24,6,124.83,93.37,31.45,3/7/2026
5,Illinois,23,7,129.12,99.04,30.08,3/7/2026
6,Gonzaga,28,3,122.36,93.58,28.78,3/7/2026
7,Houston,25,5,122.1,94.33,27.77,3/7/2026
8,Purdue,23,7,127.84,101.02,26.81,3/7/2026
9,Iowa State,24,6,122.91,96.15,26.76,3/7/2026
10,UConn,27,3,121.58,95.99,25.58,3/7/2026
11,Michigan State,25,5,120.54,95.46,25.07,3/7/2026
12,Louisville,21,9,123.21,99.02,24.2,3/7/2026
13,Nebraska,25,5,118.17,94.45,23.72,3/7/2026
14,Vanderbilt,23,7,124.16,100.68,23.48,3/7/2026
15,Tennessee,21,9,120.57,97.15,23.42,3/7/2026
16,Virginia,26,4,121.87,98.5,23.38,3/7/2026
17,Arkansas,22,8,126.39,103.04,23.35,3/7/2026
18,Saint Mary's,26,4,120.67,97.83,22.84,3/7/2026
19,Texas Tech,22,8,123.46,100.73,22.73,3/7/2026
20,Alabama,22,8,126.79,104.24,22.55,3/7/2026
21,Saint Louis,26,3,122.58,100.43,22.15,3/7/2026
22,St. John's,25,6,118.8,97.11,21.69,3/7/2026
23,Kansas,21,9,117.27,95.68,21.59,3/7/2026
24,Iowa,20,10,121.88,101.23,20.65,3/7/2026
25,North Carolina,24,6,120.86,100.51,20.34,3/7/2026
26,Utah State,23,6,122.69,102.75,19.94,3/7/2026
27,BYU,20,10,123.64,103.79,19.85,3/7/2026
28,Kentucky,19,11,120.46,100.95,19.52,3/7/2026
29,Georgia,21,9,122.9,103.61,19.29,3/7/2026
30,Miami,24,6,119.74,100.89,18.85,3/7/2026
31,NC State,19,11,122.42,103.83,18.59,3/7/2026
32,Ohio State,19,11,122.82,104.22,18.59,3/7/2026
33,Wisconsin,21,9,122.17,103.83,18.35,3/7/2026
34,Clemson,21,9,115.7,98.26,17.44,3/7/2026
35,Villanova,23,7,119.17,102.05,17.13,3/7/2026
36,Auburn,16,14,124.35,107.32,17.03,3/7/2026
37,Indiana,18,12,120.35,103.38,16.97,3/7/2026
38,SMU,19,11,122.86,105.9,16.96,3/7/2026
39,Texas,17,12,124.11,107.17,16.94,3/7/2026
40,UCLA,20,10,120.35,103.76,16.59,3/7/2026
41,Tulsa,22,6,123.6,107.71,15.89,3/7/2026
42,VCU,24,7,119.95,104.65,15.3,3/7/2026
43,Texas A&M,20,10,120,104.74,15.26,3/7/2026
44,Santa Clara,23,7,120.05,104.87,15.18,3/7/2026
45,South Florida,21,8,118.83,104,14.82,3/7/2026
46,TCU,20,10,114.15,99.51,14.64,3/7/2026
47,Akron,24,5,121.07,106.71,14.36,3/7/2026
48,New Mexico,21,8,115.3,101.53,13.77,3/7/2026
49,Cincinnati,17,13,110.49,96.79,13.7,3/7/2026
50,San Diego State,19,10,113.05,99.85,13.21,3/7/2026
51,Baylor,14,15,120.8,107.97,12.83,3/7/2026
52,Oklahoma,16,14,121.95,109.44,12.51,3/7/2026
53,Yale,20,5,121.46,109.07,12.39,3/7/2026
54,McNeese,24,5,115.95,103.62,12.33,3/7/2026
55,High Point,25,4,119.33,107.03,12.29,3/7/2026
56,Belmont,25,6,119.9,107.75,12.14,3/7/2026
57,Seton Hall,20,11,109.62,97.57,12.05,3/7/2026
58,Virginia Tech,19,11,116.17,104.21,11.96,3/7/2026
59,Washington,15,15,115.15,103.3,11.84,3/7/2026
60,Boise State,18,10,116.61,105.03,11.58,3/7/2026
61,West Virginia,18,13,111.09,99.52,11.57,3/7/2026
62,UCF,20,10,119.75,108.23,11.52,3/7/2026
63,Missouri,20,10,117.8,106.62,11.18,3/7/2026
64,Northern Iowa,20,12,109.05,98.03,11.02,3/7/2026
65,Miami (OH),28,0,117.83,107.11,10.71,3/7/2026
66,Wake Forest,15,15,116.54,105.87,10.67,3/7/2026
67,George Washington,16,13,118.29,107.7,10.59,3/7/2026
68,Northwestern,13,17,115.35,105.15,10.2,3/7/2026
69,LSU,15,15,118.69,108.53,10.16,3/7/2026
70,Dayton,21,10,111.66,101.54,10.12,3/7/2026
71,Stanford,19,11,115.66,105.59,10.08,3/7/2026
72,Wichita State,19,10,113.45,103.51,9.94,3/7/2026
73,Nevada,19,11,116.18,106.26,9.92,3/7/2026
74,Grand Canyon,19,11,110.01,100.19,9.82,3/7/2026
75,California,20,9,113.11,103.36,9.75,3/7/2026
76,Minnesota,14,16,113.44,103.7,9.75,3/7/2026
77,Florida State,16,14,115.13,105.74,9.39,3/7/2026
78,Arizona State,16,14,114.93,105.84,9.09,3/7/2026
79,Utah Valley,20,7,112.94,103.89,9.05,3/7/2026
80,Syracuse,15,15,114.42,105.4,9.02,3/7/2026
81,Stephen F. Austin,25,4,113.6,104.6,8.99,3/7/2026
82,Providence,14,16,120.07,111.17,8.9,3/7/2026
83,Colorado,17,13,117.48,108.58,8.89,3/7/2026
84,USC,17,12,112.8,104.04,8.75,3/7/2026
85,Hofstra,19,10,114.09,105.37,8.72,3/7/2026
86,Colorado State,19,10,119.49,110.8,8.69,3/7/2026
87,UNC Wilmington,24,5,114.01,105.49,8.52,3/7/2026
88,Butler,15,15,115.59,107.22,8.37,3/7/2026
89,Creighton,15,16,114.88,106.59,8.28,3/7/2026
90,St. Thomas-Minnesota,21,8,115.6,107.66,7.94,3/7/2026
91,Illinois State,19,12,111.54,103.77,7.77,3/7/2026
92,Oklahoma State,18,12,115.16,107.67,7.5,3/7/2026
93,Ole Miss,12,18,113.25,106.13,7.12,3/7/2026
94,George Mason,21,8,112.64,106.19,6.45,3/7/2026
95,Notre Dame,13,17,114.57,108.15,6.42,3/7/2026
96,Hawai'i,20,7,108.4,102.15,6.25,3/7/2026
97,Georgetown,13,17,113.64,107.4,6.23,3/7/2026
98,Sam Houston,18,9,114.92,108.73,6.19,3/7/2026
99,Murray State,20,12,116.99,110.93,6.06,3/7/2026
