Rank,Team,W,L,AdjOffEff,AdjDefEff,Total
1,DUKE,19,1,1.237946787181842,0.9097667399759777,0.32818004720586424
2,MICHIGAN,20,1,1.2239152085629248,0.8995953244412886,0.32431988412163615
3,ARIZONA,21,0,1.233099366986758,0.9136939539468606,0.31940541303989745
4,GONZAGA,21,1,1.201750244720459,0.9227845072100251,0.27896573751043396
5,ILLINOIS,18,3,1.2580941710042706,0.9930137811378362,0.26508038986643434
6,IOWA STATE,19,2,1.2180371392234974,0.9534825360938588,0.26455460312963863
7,VANDERBILT,18,3,1.2286974707078113,0.9695786938526718,0.2591187768551395
8,NEBRASKA,20,1,1.1930131452389747,0.9366562521501964,0.2563568930887783
9,PURDUE,17,4,1.24859439923497,0.9933445725303899,0.2552498267045801
10,FLORIDA,15,6,1.1959373862372193,0.9458245477299998,0.25011283850721955
11,MICHIGAN STATE,19,3,1.1685276380278942,0.9212637996142934,0.24726383841360078
12,HOUSTON,18,2,1.1793749704415015,0.9322312457964937,0.24714372464500778
13,CONNECTICUT,20,1,1.1707773468007072,0.9346643250273415,0.23611302177336568
14,KANSAS,15,5,1.1756065481791218,0.9446270177049748,0.230979530474147
15,BRIGHAM YOUNG,17,3,1.201487815864209,0.9729372759486061,0.22855053991560292
16,LOUISVILLE,14,6,1.210853590626356,0.9861171933846731,0.22473639724168293
17,VIRGINIA,17,3,1.219001816842305,0.9942734723112283,0.2247283445310766
18,SAINT LOUIS,20,1,1.2068008021093424,0.9826836562979665,0.22411714581137587
19,IOWA,15,5,1.1950053712255784,0.9800821735812976,0.2149231976442808
20,TENNESSEE,14,6,1.1767477713911836,0.962283328853959,0.21446444253722463
21,ALABAMA,14,6,1.2222520993988715,1.0099742463619696,0.21227785303690183
22,ST JOHNS NY,16,5,1.1826196379410179,0.9743419265307265,0.2082777114102914
23,ARKANSAS,16,5,1.2268435750824604,1.0197069544597073,0.20713662062275318
24,TEXAS TECH,16,4,1.2100711498467436,1.0029495710751832,0.20712157877156034
25,UTAH STATE,16,3,1.1973161594250028,0.9947641381328287,0.2025520212921741
26,NORTH CAROLINA STATE,15,6,1.2063530637708961,1.0060547324612141,0.200298331309682
27,SAINT MARYS CA,18,3,1.18588236312749,0.9888343855219747,0.1970479776055153
28,NORTH CAROLINA,16,4,1.1845387222943653,0.9875262778447691,0.1970124444495962
29,GEORGIA,16,5,1.1874534629508537,1.006069817834153,0.1813836451167008
30,INDIANA,14,7,1.189088286009271,1.0084101856422156,0.18067810036705545
